"","dens1","dens2","popSize","avgDens"
"1",2,20,121.682119205298,6.0841059602649
"2",2,50,166.384105960265,8.31920529801324
"3",2,80,221.960264900662,11.0980132450331
"4",2,110,285.397350993377,14.2698675496689
"5",2,140,320.41059602649,16.0205298013245
"6",2,170,367.562913907285,18.3781456953642
"7",2,200,413.735099337748,20.6867549668874
"8",2,230,527.139072847682,26.3569536423841
"9",2,260,515.76821192053,25.7884105960265
"10",2,290,588.099337748344,29.4049668874172
"11",2,320,647.708609271523,32.3854304635762
"12",2.2,20,110.529801324503,5.52649006622517
"13",2.2,50,156.086092715232,7.80430463576159
"14",2.2,80,199.496688741722,9.97483443708609
"15",2.2,110,235.701986754967,11.7850993377483
"16",2.2,140,285.251655629139,14.262582781457
"17",2.2,170,336.430463576159,16.8215231788079
"18",2.2,200,386.602649006623,19.3301324503311
"19",2.2,230,424.655629139073,21.2327814569536
"20",2.2,260,469.298013245033,23.4649006622517
"21",2.2,290,513.920529801325,25.6960264900662
"22",2.2,320,529.867549668874,26.4933774834437
"23",2.4,20,101.417218543046,5.07086092715232
"24",2.4,50,135.403973509934,6.77019867549669
"25",2.4,80,181.582781456954,9.07913907284768
"26",2.4,110,231.728476821192,11.5864238410596
"27",2.4,140,268.761589403974,13.4380794701987
"28",2.4,170,297.907284768212,14.8953642384106
"29",2.4,200,339.509933774834,16.9754966887417
"30",2.4,230,383.033112582781,19.1516556291391
"31",2.4,260,421.76821192053,21.0884105960265
"32",2.4,290,466.53642384106,23.326821192053
"33",2.4,320,529.298013245033,26.4649006622517
"34",2.6,20,92.6887417218543,4.63443708609272
"35",2.6,50,126.748344370861,6.33741721854305
"36",2.6,80,176.490066225166,8.82450331125828
"37",2.6,110,202.291390728477,10.1145695364238
"38",2.6,140,233.529801324503,11.6764900662252
"39",2.6,170,260.443708609272,13.0221854304636
"40",2.6,200,314.079470198675,15.7039735099338
"41",2.6,230,338.781456953642,16.9390728476821
"42",2.6,260,381.430463576159,19.0715231788079
"43",2.6,290,427.317880794702,21.3658940397351
"44",2.6,320,478.655629139073,23.9327814569536
"45",2.8,20,82.3576158940397,4.11788079470199
"46",2.8,50,122.562913907285,6.12814569536424
"47",2.8,80,149.629139072848,7.48145695364238
"48",2.8,110,158.423841059603,7.92119205298013
"49",2.8,140,206.225165562914,10.3112582781457
"50",2.8,170,237.033112582781,11.8516556291391
"51",2.8,200,278.794701986755,13.9397350993377
"52",2.8,230,306.139072847682,15.3069536423841
"53",2.8,260,357.350993377483,17.8675496688742
"54",2.8,290,366.980132450331,18.3490066225166
"55",2.8,320,423.543046357616,21.1771523178808
"56",3,20,78.9337748344371,3.94668874172185
"57",3,50,114.218543046358,5.71092715231788
"58",3,80,134.344370860927,6.71721854304636
"59",3,110,168.158940397351,8.40794701986755
"60",3,140,193.688741721854,9.68443708609272
"61",3,170,220.708609271523,11.0354304635762
"62",3,200,255.543046357616,12.7771523178808
"63",3,230,292.291390728477,14.6145695364238
"64",3,260,345.066225165563,17.2533112582781
"65",3,290,346.456953642384,17.3228476821192
"66",3,320,354.735099337748,17.7367549668874
"67",3.2,20,76.6556291390728,3.83278145695364
"68",3.2,50,103.278145695364,5.16390728476821
"69",3.2,80,129.993377483444,6.49966887417219
"70",3.2,110,145.370860927152,7.26854304635762
"71",3.2,140,179.185430463576,8.95927152317881
"72",3.2,170,216.211920529801,10.8105960264901
"73",3.2,200,246.291390728477,12.3145695364238
"74",3.2,230,245.609271523179,12.2804635761589
"75",3.2,260,276.033112582781,13.8016556291391
"76",3.2,290,297.172185430464,14.8586092715232
"77",3.2,320,343.112582781457,17.1556291390728
"78",3.4,20,67.6158940397351,3.38079470198675
"79",3.4,50,96.0596026490066,4.80298013245033
"80",3.4,80,120.867549668874,6.04337748344371
"81",3.4,110,151.960264900662,7.59801324503311
"82",3.4,140,170.986754966887,8.54933774834437
"83",3.4,170,205.847682119205,10.2923841059603
"84",3.4,200,208.986754966887,10.4493377483444
"85",3.4,230,243.549668874172,12.1774834437086
"86",3.4,260,253.470198675497,12.6735099337748
"87",3.4,290,312.668874172185,15.6334437086093
"88",3.4,320,333.17880794702,16.658940397351
"89",3.6,20,64.1986754966887,3.20993377483444
"90",3.6,50,86.476821192053,4.32384105960265
"91",3.6,80,114.556291390728,5.72781456953642
"92",3.6,110,138.847682119205,6.94238410596027
"93",3.6,140,160.344370860927,8.01721854304636
"94",3.6,170,185.701986754967,9.28509933774834
"95",3.6,200,205.165562913907,10.2582781456954
"96",3.6,230,217.437086092715,10.8718543046358
"97",3.6,260,269.072847682119,13.453642384106
"98",3.6,290,265.788079470199,13.2894039735099
"99",3.6,320,269.384105960265,13.4692052980132
"100",3.8,20,61.8145695364238,3.09072847682119
"101",3.8,50,86.3046357615894,4.31523178807947
"102",3.8,80,108.860927152318,5.44304635761589
"103",3.8,110,130.834437086093,6.54172185430464
"104",3.8,140,145.278145695364,7.26390728476821
"105",3.8,170,172.377483443709,8.61887417218543
"106",3.8,200,180.496688741722,9.02483443708609
"107",3.8,230,219.986754966887,10.9993377483444
"108",3.8,260,226.019867549669,11.3009933774834
"109",3.8,290,246.503311258278,12.3251655629139
"110",3.8,320,270.119205298013,13.5059602649007
"111",4,20,60.9668874172185,3.04834437086093
"112",4,50,88.112582781457,4.40562913907285
"113",4,80,109.986754966887,5.49933774834437
"114",4,110,124.039735099338,6.20198675496689
"115",4,140,132.933774834437,6.64668874172185
"116",4,170,148.384105960265,7.41920529801325
"117",4,200,174.801324503311,8.74006622516556
"118",4,230,203.973509933775,10.1986754966887
"119",4,260,222.12582781457,11.1062913907285
"120",4,290,217.403973509934,10.8701986754967
"121",4,320,236.211920529801,11.8105960264901
"122",4.2,20,53.6490066225166,2.68245033112583
"123",4.2,50,79.1324503311258,3.95662251655629
"124",4.2,80,103.523178807947,5.17615894039735
"125",4.2,110,117.139072847682,5.85695364238411
"126",4.2,140,139.688741721854,6.98443708609271
"127",4.2,170,153.072847682119,7.65364238410596
"128",4.2,200,171.701986754967,8.58509933774834
"129",4.2,230,186.675496688742,9.33377483443709
"130",4.2,260,215.145695364238,10.7572847682119
"131",4.2,290,207.860927152318,10.3930463576159
"132",4.2,320,236.079470198675,11.8039735099338
"133",4.4,20,51.9867549668874,2.59933774834437
